,日付け,oil_price,stock_price
0,2020年12月30日,48.4,27444.17
1,2020年12月29日,48.0,27568.15
2,2020年12月28日,47.62,26854.03
3,2020年12月24日,48.23,26668.35
4,2020年12月23日,48.12,26524.79
5,2020年12月22日,47.02,26436.39
6,2020年12月21日,47.74,26714.42
7,2020年12月18日,49.1,26763.39
8,2020年12月17日,48.36,26806.67
9,2020年12月16日,47.82,26757.40
10,2020年12月15日,47.62,26687.84
11,2020年12月14日,46.99,26732.44
12,2020年12月11日,46.57,26652.52
13,2020年12月10日,46.78,26756.24
14,2020年12月09日,45.52,26817.94
15,2020年12月08日,45.6,26467.08
16,2020年12月07日,45.76,26547.44
17,2020年12月04日,46.26,26751.24
18,2020年12月03日,45.64,26809.37
19,2020年12月02日,45.28,26800.98
20,2020年12月01日,44.55,26787.54
21,2020年11月30日,45.34,26433.62
22,2020年11月27日,45.53,26644.71
23,2020年11月26日,44.98,26537.31
24,2020年11月25日,45.71,26296.86
25,2020年11月24日,44.91,26165.59
26,2020年11月20日,42.15,25527.37
27,2020年11月19日,41.74,25634.34
28,2020年11月18日,41.82,25728.14
29,2020年11月17日,41.43,26014.62
30,2020年11月16日,41.34,25906.93
31,2020年11月13日,40.13,25385.87
32,2020年11月12日,41.12,25520.88
33,2020年11月11日,41.45,25349.60
34,2020年11月10日,41.36,24905.59
35,2020年11月09日,40.29,24839.84
36,2020年11月06日,37.14,24325.23
37,2020年11月05日,38.79,24105.28
38,2020年11月04日,39.15,23695.23
39,2020年11月02日,36.81,23295.48
40,2020年10月30日,35.79,22977.13
41,2020年10月29日,36.17,23331.94
42,2020年10月28日,37.39,23418.51
43,2020年10月27日,39.57,23485.80
44,2020年10月26日,38.56,23494.34
45,2020年10月23日,39.85,23516.59
46,2020年10月22日,40.64,23474.27
47,2020年10月21日,40.03,23639.46
48,2020年10月20日,41.46,23567.04
49,2020年10月19日,40.83,23671.13
50,2020年10月16日,40.88,23410.63
51,2020年10月15日,40.96,23507.23
52,2020年10月14日,41.04,23626.73
53,2020年10月13日,40.2,23601.78
54,2020年10月12日,39.43,23558.69
55,2020年10月09日,40.6,23619.69
56,2020年10月08日,41.19,23647.07
57,2020年10月07日,39.95,23422.82
58,2020年10月06日,40.67,23433.73
59,2020年10月05日,39.22,23312.14
60,2020年10月02日,37.05,23029.90
61,2020年10月01日,38.72,23185.12
62,2020年09月30日,40.22,23185.12
63,2020年09月29日,39.29,23539.10
64,2020年09月28日,40.6,23511.62
65,2020年09月25日,40.25,23204.62
66,2020年09月24日,40.31,23087.82
67,2020年09月23日,39.93,23346.49
68,2020年09月18日,41.11,23360.30
69,2020年09月17日,40.97,23319.37
70,2020年09月16日,40.16,23475.53
71,2020年09月15日,38.28,23454.89
72,2020年09月14日,37.26,23559.30
73,2020年09月11日,37.33,23406.49
74,2020年09月10日,37.3,23235.47
75,2020年09月09日,38.05,23032.54
76,2020年09月08日,36.76,23274.13
77,2020年09月07日,39.2,23089.95
78,2020年09月04日,39.77,23205.43
79,2020年09月03日,41.37,23465.53
80,2020年09月02日,41.51,23247.15
81,2020年09月01日,42.76,23138.07
82,2020年08月31日,42.61,23139.76
83,2020年08月28日,42.97,22882.65
84,2020年08月27日,43.04,23208.86
85,2020年08月26日,43.39,23290.86
86,2020年08月25日,43.35,23296.77
87,2020年08月24日,42.62,22985.51
88,2020年08月21日,42.34,22920.30
89,2020年08月20日,42.58,22880.62
90,2020年08月19日,42.93,23110.61
91,2020年08月18日,42.89,23051.08
92,2020年08月17日,42.89,23096.75
93,2020年08月14日,42.01,23289.36
94,2020年08月13日,42.24,23249.61
95,2020年08月12日,42.67,22843.96
96,2020年08月11日,41.61,22750.24
97,2020年08月07日,41.22,22329.94
98,2020年08月06日,41.95,22418.15
99,2020年08月05日,42.19,22514.85
100,2020年08月04日,41.7,22573.66
101,2020年08月03日,41.01,22195.38
102,2020年07月31日,40.27,21710.00
103,2020年07月30日,39.92,22339.23
104,2020年07月29日,41.27,22397.11
105,2020年07月28日,41.04,22657.38
106,2020年07月27日,41.6,22715.85
107,2020年07月22日,41.9,22751.61
108,2020年07月21日,41.96,22884.22
